commit	date	category	rationale	subject
46d5df0bbae6a0a9c3bcdcc4addaabc0146fe2db	2021-09-27	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Add type c_hpy_ptr_type
a8c82b31893d31c5a57726c4d0c6ef172ba713e8	2021-09-27	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Introduce mapping between C API and HPy types
f1c8e803e4f1ad6e2527c7a1b8cac7573bae6342	2021-09-27	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Generate correct signature for HPy keywords func
7ca36c0b6d798d360f02c2d5884296eda3a58ddf	2021-09-27	rejected_writer_experiment	Second-writer/duplicated-section experiment was reverted after review.	Introduce code parts for HPy; protect them by ifdefs
f1bc7811475b94f661e9259e3af87fdd335f857d	2021-09-27	rejected_writer_experiment	Second-writer/duplicated-section experiment was reverted after review.	Generate func var decls via code writer
69a6219e5c65df144227b472ad02d27a22a32571	2021-09-27	rejected_writer_experiment	Second-writer/duplicated-section experiment was reverted after review.	Move argument declaration generation to code writer
853bc29e228d1ba4d5d07cd925862f87c6e3755f	2021-09-27	rejected_writer_experiment	Second-writer/duplicated-section experiment was reverted after review.	Move error value definition to code writer
0bf6b3f13d24a4da1c470c64ecb1f98840197e86	2021-09-27	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Don't use module state for HPy
ad618006518f2ac4bb881c0c573c3512d33c0855	2021-09-28	maintenance_or_unrelated	No direct modern backend implementation should be transplanted.	Use put_binary_call_with_error in BinOpNode
49bbc62505d3b48c2806f33e83d25676cc756865	2021-09-28	rejected_writer_experiment	Second-writer/duplicated-section experiment was reverted after review.	Introduce sections (hpy_)string_obj_decls
4407a5bb84dc88b561d047b335c9b6c46a0a5f8c	2021-09-28	obsolete_hpy_api	Targets HPy 0.0.3/0.0.4 and requires redesign for the validated public API.	Add HPy version of string table
22cc1445b16aaa469d27bfccd01ab9e5648dd66a	2021-09-30	ownership_or_correctness_evidence	Captures a correctness/ownership failure mode that needs a modern regression test.	Fix: forgot to pass ctx to HPy_Hash
a85f516cbe914b2da349590cde9444dd27dcfb17	2021-09-30	ownership_or_correctness_evidence	Captures a correctness/ownership failure mode that needs a modern regression test.	Fix: use HPy_IsNull
2e3ddb93b4c35b2f9eca5f18f00d0bb0fe98a8b4	2021-10-01	rejected_writer_experiment	Second-writer/duplicated-section experiment was reverted after review.	Introduce section hpy_init_globals
1508826d7b11ee44b6805c14fd91dd7e3c2de1a9	2021-10-01	rejected_writer_experiment	Second-writer/duplicated-section experiment was reverted after review.	Introduce code section hpy_module_state, hpy_cached_constants, hpy_init_module, hpy_cleanup_globals, hpy_cleanup_module
7a9a5b92104f4ca527307a4a3549f19721468e69	2021-10-01	ownership_or_correctness_evidence	Captures a correctness/ownership failure mode that needs a modern regression test.	Close HPy sections after everything else
dfff875d1572a4883551a91acfe0cbe2ac43cfcc	2021-10-01	rejected_writer_experiment	Second-writer/duplicated-section experiment was reverted after review.	Generate function args via code writer
263eebac94bbbf03db1dede9fa20a3f1351e17e3	2021-10-01	ownership_or_correctness_evidence	Captures a correctness/ownership failure mode that needs a modern regression test.	Fix null condition generation
c705a3f8c8cb586334eb52f1bf565b20f2f93526	2021-10-01	rejected_writer_experiment	Second-writer/duplicated-section experiment was reverted after review.	Move argument unpacking code to code writer
f3b4c5cabefe59e4feff54760eadf90c7c42b5f6	2021-10-01	ownership_or_correctness_evidence	Captures a correctness/ownership failure mode that needs a modern regression test.	Fix: type of kwdlist variable
b3ea0e52e7ac0f75e5a53d9e064a73575206ad1f	2021-10-01	rejected_writer_experiment	Second-writer/duplicated-section experiment was reverted after review.	Move module definition generation to code writer
8a83fd073160930fc0b0fa7b5015065c92ad2e67	2021-10-01	rejected_writer_experiment	Second-writer/duplicated-section experiment was reverted after review.	Introduce section hpy_global_var
e7bd118e79125105a99d60a7ff70cae5632e8981	2021-10-04	incomplete_placeholder	Explicitly incomplete behavior; useful only as a gap marker.	Disable builtins cache for now until we support it for HPy
2568d81eefd38f752b4681ae9ef66da2136dbba1	2021-10-04	incomplete_placeholder	Explicitly incomplete behavior; useful only as a gap marker.	Provide dummy variant of __Pyx_ParseOptionalKeywords for HPy
53535c2af54a619b38d8661ea6a32e5010127dd5	2021-10-04	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Always add func defs to hpyfunc_entries
fc08b3664ccdeeddc23f5c16234e81f96f7a8641	2021-10-04	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Generate HPy define entry for pyfunc_entries
838a322a2c6b9d178c944b069add2dd7cf72ae1a	2021-10-04	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Refer to correct cname for HPy define entry
4dbfbba4dff40a476da4d067e6a7bf4520445235	2021-10-04	maintenance_or_unrelated	No direct modern backend implementation should be transplanted.	Add missing import of Errors.error
a421a944f8114a713613823ed818a54d31c42e4a	2021-10-04	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Raise error in HPyCodeWriter.get_argument_default_const
5fc6f3fc5c2b60e0d71d9d8f253794b421d797d5	2021-10-04	incomplete_placeholder	Explicitly incomplete behavior; useful only as a gap marker.	Provide dummy impl of __Pyx_CyFunction_get_is_coroutine for HPy
5db2a5a97aa4aa7abbd06d5ee9cc931761c83ec7	2021-10-04	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Define kwvalues array as HPy handle array
bded43c017bf0bb2354bea52d605b91843162565	2021-10-04	reusable_test_concept	Test intent is reusable after rewriting for current Cython and HPy.	Extend hpy_basic test; call funcs and check result
0f70267e297ccb6a16cbe43b518d9433aca539f3	2021-11-24	maintenance	Historical branch synchronization; do not transplant.	Merge branch 'master' into hpy
508ed0ad0883921c6c54b11a21ba0d38bb2cb84d	2021-11-24	ownership_or_correctness_evidence	Captures a correctness/ownership failure mode that needs a modern regression test.	Support put_(x)decref_set for HPy
c7e4af65466f551920194d83c724c32e2785d1bf	2021-11-24	ownership_or_correctness_evidence	Captures a correctness/ownership failure mode that needs a modern regression test.	Fix: incorrect init of object vars in fun header
b2367533149d53c0d6d2190ced56c6059b0e2124	2021-11-24	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Migrate CFuncDefNode.error_value to HPy
684389de2fbc980b931b6fb85786ba9ff81f496f	2021-11-24	ownership_or_correctness_evidence	Captures a correctness/ownership failure mode that needs a modern regression test.	Fix: incorrectly used hard-coded HPy_NULL
d2d00f1408c2eebd5d3c86724a41f5ba45c37105	2021-11-24	rejected_writer_experiment	Second-writer/duplicated-section experiment was reverted after review.	Introduce code section hpy_init_constants
60255cab71ac13dcc3a76533c4440f21e74f14e3	2021-11-24	obsolete_hpy_api	Targets HPy 0.0.3/0.0.4 and requires redesign for the validated public API.	Migrate to recent HPyModuleDef changes
5c89e494f7d2e7127afa6c358ea9b2257a73698c	2021-11-25	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Do not use refnanny for HPy
7c9d652f8a4eb05933980adc45192e441d99c61e	2021-11-25	incomplete_placeholder	Explicitly incomplete behavior; useful only as a gap marker.	Do not use CythonFunctionShared for HPy (yet)
69d57dc155efc4942509b3b87f0ae5f07f06eed7	2021-12-06	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Add Oracle copyright for HPy backend contributions
c55bbb4d1e57b5c000e33f45948d54ff6e060e33	2021-12-06	rejected_writer_experiment	Second-writer/duplicated-section experiment was reverted after review.	Fix: ignore removed code parts
6a1b9c280eae9ab320c4d2ee4f950038ea22aeb8	2021-12-06	ownership_or_correctness_evidence	Captures a correctness/ownership failure mode that needs a modern regression test.	Fix unresolved merge conflict
686cc256f57c480bafcf0e6e8886cd4613ee8cce	2021-12-06	obsolete_hpy_api	Targets HPy 0.0.3/0.0.4 and requires redesign for the validated public API.	Update HPy version to 0.0.3
2d21c8afc0dbead406eb426418b8a643a8ad1d52	2021-12-06	rejected_writer_experiment	Second-writer/duplicated-section experiment was reverted after review.	Cache temp allocator closure in scope for sharing between code writers
0868485e6b07c5e3979a57b41f349d638df5ff62	2021-12-07	ownership_or_correctness_evidence	Captures a correctness/ownership failure mode that needs a modern regression test.	Fix: close sections before deletion
42037ad1768d900244e6520f84c257dc086bf2e6	2021-12-07	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Assign CyFunction defaults also in HPy backend
70ce507bef7ec633b26c1566bec33d3625db92c6	2021-12-07	maintenance_or_unrelated	No direct modern backend implementation should be transplanted.	Tag closing endif
42241cadfc528ef4852f92f7b394ec9ef16f371e	2021-12-10	ownership_or_correctness_evidence	Captures a correctness/ownership failure mode that needs a modern regression test.	Fix: do not return list of HPy method flags
5b6be58318305d0812cb9006df7716f6c30c60a8	2021-12-13	ownership_or_correctness_evidence	Captures a correctness/ownership failure mode that needs a modern regression test.	Fix constructor calls of Code.GlobalState
f39486edebd52e0863213b3e9c172d6b02c2c7ac	2021-12-13	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Always generate guarded hpy.h include
8d4edd2c1dc165d3ec76a6516875dc9a9f79cdc5	2021-12-16	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Create distinct section for HPy module setup code
eb1aa4e5b1e21acee48a6688a8d7a98b28a48d32	2021-12-16	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Introduce ApiBackend to emit C API specific code
28dbebf8b7c9979bc7dc0ba4f3e7155e97817673	2021-12-16	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Migrate module state code generation
68ca95c98c0f9bb242b075ab2163725ae9dea0b2	2021-12-17	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Migrate section string_obj_decls.
64d7dbc80c3e951c365255aad414b14718620652	2021-12-17	incomplete_placeholder	Explicitly incomplete behavior; useful only as a gap marker.	Associate global HPyField with ctx->h_None for now.
1e7eb7aa6640090c95fd5df263f89cfb55a14d79	2021-12-17	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Migrate __Pyx_GetBuiltinName to HPy
3c34383c0a476f9cd3e7b6a9daa2d3adef48179f	2021-12-17	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Define module def ctype in API backend.
0f2b0a8060b5d9c1f814e74423a9551407a9b272	2021-12-17	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Do tuple/list building via backend
1f951df8044d85ea9a0086364e462b48aaeaffa3	2021-12-17	maintenance_or_unrelated	No direct modern backend implementation should be transplanted.	Do not pass module to __Pyx_InitString/Constants
d715efb1fe7b383a085851249af9ebc58030e79a	2021-12-17	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Migrate __Pyx_PyNumber_Absolute to HPy
fd878385bbac94673ddb8a9d00eeb4496b9b1e20	2021-12-17	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Make API backend global
c0377cc9f77ec87aafdbb956e2257d07f4323f8a	2021-12-20	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Generate "is null" condition via API backend
820b83a1c7809233a8eb76370d6fe4a299c1f103	2021-12-20	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Do not pass context to foreign (e.g. C lib) functions.
5eb5c67f5b83ea3bc3aff654301f704b5ccda014	2021-12-20	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Introduce ApiBackendInitCode
4a2ab6267cda81d019d527229ce89e56b98d0600	2021-12-20	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Migrate CIntFromPy template
64f2d4f287fd903c5b7b8314df56580dbdb5d281	2021-12-20	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Generate call to conversion function via API backend
8a797b7e996d53bdd57dd24f2a1e6072f0bbef9c	2021-12-22	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Defer error when building list/tuple.
841ef67bd808dc176ba6622c3dedff994237cb35	2021-12-22	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Use backend to generate args for type conversion fun
fad38d90d98b95013ca67867b7b0deb82aa62ac7	2021-12-22	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Migrate CIntToPy template
e7d89f5fa17517bff143e5d4c66f6dbdfb84a804	2021-12-22	rejected_writer_experiment	Second-writer/duplicated-section experiment was reverted after review.	Revert "Move argument unpacking code to code writer"
6986be6b501ced29c852aab0c479b326b893d50c	2021-12-22	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Migrate generate_keyword_unpacking_code
bc4be178ca8b4e6535b5e0cec4a33c7af8f06bed	2021-12-23	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Migrate __PyFloat_AsDouble/Float
4e3830e11a667c5dfaa0aea0ff170808ee77ba22	2021-12-23	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Const init: use conversion funcs from backend
f1b09d8e85917c9112c62d5447bb94a0a2dfe94e	2021-12-23	rejected_writer_experiment	Second-writer/duplicated-section experiment was reverted after review.	Revert "Move error value definition to code writer"
ea75bd6a646f0b922e5c4315514b0ad7cd670314	2022-01-11	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Delegate error handling to backend
806ce309afb329bfbd8bfb2aed84394c03faef9c	2022-01-11	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Move function header generation back to nodes and use backend
a9759fa8cde3173482e0e925fa1ee5673234d48a	2022-01-11	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Move binary operation functions to backend
2fe1441d63189d5399f5f75f6d3e929483074116	2022-01-11	historical_design_correction	Records a corrected or abandoned design direction.	Revert "Use put_binary_call_with_error in BinOpNode"
2e144f64952fb6fdd3307e685a0870b92e9ff091	2022-01-14	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Implement __Pyx_GetKwValue_FASTCALL for HPy.
8e78bb0e7522e2eeb2d746aff147d61376fe3eb6	2022-01-18	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Migrate snippet StringTools.c::BytesEquals to HPy
c2c9acc771fb69b6a0af0c34326a2126e3db415e	2022-01-18	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Migrate snippet StringTools.c::UnicodeEquals to HPy
7d633e397b80cc9e7d2fdd74a30edea52cf9d9e9	2022-01-19	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Migrate __Pyx_GetModuleGlobalName to HPy
879e75f0ad9202c08eb331e2569312ac67dfc903	2022-01-19	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Migrate snippet CIntFromPy to HPy
c4b3216b179622384b734ba09647e725b32f5ece	2022-01-19	maintenance_or_unrelated	No direct modern backend implementation should be transplanted.	Generate proper call in BinopNode
cee24c224e44e35fa6f6faf6a5de15f8cf97d2fe	2022-01-19	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Migrate snippet TupleAndListFromArray to HPy
afefeefeb706a0b21832f13045ddea3ba853931f	2022-01-19	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Delegate PyObjectType code gen to backend
db2920c041449f43a64f47b7609df8b2ced37b79	2022-01-19	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Introduce Pyrex type for a global variable with a Python object
786568087fdff14fa5a46cd7848cdfe8f11d8b75	2022-01-19	rejected_writer_experiment	Second-writer/duplicated-section experiment was reverted after review.	Revert "Move argument declaration generation to code writer"
ce3f2ff8dbf6554e5e75ab6b6b9e7d6e2a495328	2022-01-19	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Migrate DefNodeWrapper.generate_argument_declaration to HPy
82b62a737c616b9712295062e04709f6bf09f7a3	2022-01-19	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Migrate function header and arg unpacking to HPy
bb22d11a41bbffd5bb31013c9aec7a5d477fcfaa	2022-01-19	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Migrate parts of snippet TypeConversions to HPy
11e9a788a401c3312e896bf3a8805893280465a7	2022-01-19	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Migrate snippet CIntToPy to HPy
2841e5a1fa8897ac737b600c5d1c71c0a3f080fb	2022-01-19	rejected_writer_experiment	Second-writer/duplicated-section experiment was reverted after review.	Remove HPyCCodeWriter
5174582ad5aae580bd1f94f506095e18c1db1739	2022-01-19	rejected_writer_experiment	Second-writer/duplicated-section experiment was reverted after review.	Remove HPy-specific code parts
194ec5a5bd6bb103cf27bd87eb890d8765d3064d	2022-01-19	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Support writing to global variabls in backend
fa4cf5a68680d93635eb88d049b949f732fa793e	2022-01-20	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Introduce Pyrex types for tuple and list builder
15d43e78ec36a5eef0066a66b949eacd6b2abe81	2022-01-20	maintenance_or_unrelated	No direct modern backend implementation should be transplanted.	Support temps in __Pyx_InitCachedConstants (code part "cached_constants")
142ca50c7b758594f195fb2bf20cb420aeba1495	2022-01-20	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Migrate TupleNode to HPy
42a33f6c6381ff853608e809a876801737f297f9	2022-01-20	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Add support to CCodeWriter for loading/storing global variables
d7192aa88e50b57505735db820b83999d3fb41f8	2022-01-21	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Migrate CodeObjectNode to HPy
3b988e820940cc14dd28c0482234edb96418b8c7	2022-01-21	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Migrate StringNode to HPy
5654a17388ed45b7071d79e8ddd1f8c023f8b248	2022-01-24	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Revert "Migrate CFuncDefNode.error_value to HPy"
c10bde1cb1f3797bea2430aa1fba12c986e7af51	2022-01-26	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Migrate snippet __Pyx_GetModuleGlobalName
c107e3fce6d62f5798c7f1140b5eac1a1e6dced5	2022-01-26	incomplete_placeholder	Explicitly incomplete behavior; useful only as a gap marker.	Do empty impl of __Pyx_CyFunction_get_is_coroutine for HPy
111a2e5103c046ad64b1e1e1ca2288326c231f82	2022-01-26	incomplete_placeholder	Explicitly incomplete behavior; useful only as a gap marker.	Do empty impl of __Pyx_AddTraceback for HPy
4562a736659b09fec525d1ae1129efb84ea4ec77	2022-01-26	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Migrate snippet __Pyx_RaiseDoubleKeywordsError to HPy
ad6cbed55f1e973a8ee6dafa99308367a6ad02e0	2022-01-26	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Do not generate Py_INCREF for HPy
65875a3fd18a4a92d23670828d1c484c504f0093	2022-01-26	ownership_or_correctness_evidence	Captures a correctness/ownership failure mode that needs a modern regression test.	Migrate module initialization/cleanup to HPy
08b7352ad7e191b7a32ca7ff743af180a4fdfe5c	2022-01-26	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Migrate DictNode to HPy
fc6dcb00477277d8db36f1bcac93185ef9ab52af	2022-01-26	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Migrate NameNode to HPy
164866153fe2e54183251609a7b72de56d221a5c	2022-01-26	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Remove obsolete Naming.hpymoduledef_cname
3a4092f605e615d9fa8c5d47b48ff5458cdedbc1	2022-01-26	ownership_or_correctness_evidence	Captures a correctness/ownership failure mode that needs a modern regression test.	Do not decref loaded globals for C API
693eb0b4740dc5763b79e00866db54f29df717d5	2022-01-27	incomplete_placeholder	Explicitly incomplete behavior; useful only as a gap marker.	Do (for now) not cleanup cached functions in HPy
d354426ad84a6188d64cdc3747ce857284adc3a0	2022-01-27	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Get error value from API backend
b724ef406a95983bfe3accd4d33442fc30773f6a	2022-01-27	ownership_or_correctness_evidence	Captures a correctness/ownership failure mode that needs a modern regression test.	Add get_close_loaded_global to combined backend
9badec81efbb966688a936757b8834d72db82d13	2022-01-27	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Add get_method_definition to combined backend
bde239f1480432e8543b438624c0a4fabfb38b3c	2022-01-27	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Add put_hpy to combined backend
fd925ddb4d5e6bcb0182d08973317c836bce4b4c	2022-01-27	ownership_or_correctness_evidence	Captures a correctness/ownership failure mode that needs a modern regression test.	Fix: inverted condition in CombinedBackend.get_both
2506b1c48af40e02f9fe5444ac9f81d19ced1930	2022-01-27	ownership_or_correctness_evidence	Captures a correctness/ownership failure mode that needs a modern regression test.	Fix macro problems in combined backend
4db477c3724f148512dc4775ccc8223f39753236	2022-01-28	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Use call helper macro for combined backend
32282a972ae4aadbab3b90a2191823ec28797e6b	2022-01-28	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Migrate function __Pyx_PyUnicode_FromString to HPy
83da56064713168e3fe0fc50116bc22618344bf9	2022-01-28	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Migrate __Pyx_PyErr_ExceptionMatches to HPy
8df0ae9749a25083b649fe2e21c11f6bbb51d838	2022-01-28	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Do not use type slots when compiling in HPy
4cead994b817f2f4efa3f8f4a362892e7d5e7ea6	2022-01-28	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Migrate snippet PyObjectGetAttrStrNoError to HPy
63fe9ca4c4fd02d68a6acedb6a1f7ca8c56d3852	2022-01-28	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Change backend to a global variable
9a53e866becede555767e8a58301f8b694f3a8ef	2022-01-28	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Introduce macro CYTHON_COMPILING_IN_HPY
1be6f9c473a9193a38f1c08889ba04cc9385584b	2022-01-28	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Remove duplicate definition of __PYX_NULL
995016d37dc393f7f989d3e0b36be7b599d590a1	2022-01-31	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Account for different C signatures between APIs
c3fcbdc999ee5521604c97a1a1b7a3fbcee8bb58	2022-01-31	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Introduce function __Pyx_GetBuiltinNameFromGlobal
1087ac4406595074b4b2c3fbea02ffa9c3e29b07	2022-01-31	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Implicitly define context for CFuncDef (cdef)
6463fc51aed6f5b21930041f1e341a3fb137446f	2022-01-31	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Migrate snippet FromPy to HPy
634fa13a93f63b01de3ddad41842a16279310c1d	2022-01-31	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Migrate snippet Common to HPy
909c53b562a4920d806e520eebac8b486e017da2	2022-01-31	ownership_or_correctness_evidence	Captures a correctness/ownership failure mode that needs a modern regression test.	Use *_NewRef instead of *_INCREF to make owned ref
cc780da10b285e8e4931c764e7dcc5dfd74c2868	2022-01-31	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Deal with global vars in NameNode's assignment code
6eb27b51e274459b206f40ee470ba6b3da00e36c	2022-01-31	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Migrate snippet PyIntBinop to HPy
729591b7722ab029d934a404189679bca103588a	2022-01-31	ownership_or_correctness_evidence	Captures a correctness/ownership failure mode that needs a modern regression test.	Fix: __Pyx_NEWREF must return a value
